Name.firstName,Name.lastName,Address.city,Address.country,Age,Income($)
Andrea,Jackson,Hyderabad,UK,12,161480
Mohan,Taylor,Chennai,India,74,52239
Ranbir,Brown,Bangalore,India,61,94906
David,Anderson,Delhi,Australia,53,117134
Nick,Holland,Jaipur,USA,39,41625
Michael,Thompson,Pune,UK,72,176516
Kory,Clark,Jaipur,Canada,2,52474
Priyanka,Lee,Pune,UK,50,151823
Angelina,Martinez,Surat,Australia,37,153641
Stark,Thompson,Surat,India,24,83433
Ranbir,White,Delhi,USA,61,72634
Alia,Clark,Mumbai,Australia,57,164467
Nick,Johnson,Bangalore,Canada,75,154823
Sid,White,Surat,UK,48,86714
Kory,Johnson,Ahmedabad,Canada,44,167482
David,Martinez,Surat,Canada,2,108322
Angelina,Smith,Surat,Australia,65,195761
Priyanka,Harris,Surat,USA,40,47779
Stark,Rodriguez,Hyderabad,USA,79,117074
Dipika,Thompson,Hyderabad,India,59,121340
Dipika,Robinson,Surat,UK,66,185903
Nick,Holland,Ahmedabad,USA,64,63775
Jared,Brown,Kolkata,UK,17,54818
Gautam,Garcia,Jaipur,USA,16,189317
Kory,Clark,Mumbai,USA,20,84659
Priyanka,Jackson,Hyderabad,Canada,67,88878
Brad,Martin,Surat,UK,71,114115
Priyanka,Walker,Chennai,USA,37,121238
Dipika,Jackson,Chennai,India,64,183029
Donald,Thompson,Jaipur,USA,77,185649
Rob,Smith,Delhi,Canada,46,108993
Ismail,Walker,Jaipur,UK,38,98716
Michael,Thompson,Pune,India,78,196612
Ranbir,Brown,Surat,Canada,4,161941
Abdul,Lewis,Hyderabad,USA,29,109491
Abdul,Thomas,Bangalore,India,4,126433
Tom,Garcia,Bangalore,UK,46,194440
Ismail,Lee,Chennai,India,16,160760
Ismail,Harris,Hyderabad,UK,50,76021
Dipika,Smith,Delhi,India,61,50877
Angelina,White,Jaipur,Canada,72,173038
Ranbir,Garcia,Kolkata,Australia,28,43099
Abdul,Anderson,Jaipur,Australia,58,118736
Tom,Martin,Delhi,Canada,48,52795
Ranbir,Thomas,Ahmedabad,UK,0,80292
Priyanka,Lewis,Kolkata,India,32,75788
Angelina,Robinson,Delhi,UK,55,130516
Tom,Brown,Pune,USA,49,106067
Angelina,Robinson,Mumbai,UK,14,75499
Jared,Harris,Jaipur,USA,34,59005
Arnold,Rodriguez,Bangalore,Canada,36,57949
Arnold,Martinez,Delhi,UK,42,160420
Brad,Brown,Delhi,Canada,74,136106
Alia,Holland,Bangalore,India,13,50627
Gautam,Johnson,Jaipur,Australia,9,187293
Michael,Thomas,Surat,Australia,30,119304
Dipika,Taylor,Pune,UK,59,88177
Dipika,Martinez,Kolkata,Canada,33,59477
Angelina,Walker,Surat,India,37,188235
Ismail,Harris,Bangalore,India,54,108003
Nick,Thomas,Pune,UK,64,187985
David,Jackson,Mumbai,Canada,69,152986
Tom,Robinson,Ahmedabad,Canada,61,161559
Brad,Lewis,Ahmedabad,Canada,79,45749
Donald,Thompson,Ahmedabad,Canada,18,62712
Gautam,Jackson,Chennai,USA,2,172553
Alia,Thomas,Surat,Australia,72,65579
Ranbir,Clark,Jaipur,Australia,71,195012
Sid,Martinez,Chennai,India,26,162897
Abdul,Johnson,Surat,UK,18,67796
Mohan,Holland,Jaipur,Australia,16,67833
Andrea,Walker,Delhi,Canada,22,147104
Nick,Brown,Surat,UK,24,188881
Donald,Anderson,Surat,UK,30,113995
Mohan,Taylor,Delhi,Australia,57,102471
Ranbir,Lewis,Mumbai,USA,74,63441
Andrea,Thomas,Pune,USA,14,115074
Tom,Anderson,Delhi,UK,63,166323
Nick,Holland,Chennai,India,30,152341
Andrea,Holland,Jaipur,Canada,70,62181
Rob,Johnson,Delhi,Canada,78,153105
Mohan,Lewis,Ahmedabad,USA,11,149618
David,Jackson,Ahmedabad,Australia,53,126740
Sid,Johnson,Kolkata,Canada,56,43137
Ranbir,Lee,Delhi,Canada,78,139537
Brad,Brown,Hyderabad,UK,35,132187
Kory,Robinson,Jaipur,Australia,53,50582
Priyanka,Jackson,Chennai,UK,71,67973
Angelina,Rodriguez,Surat,Australia,77,191619
Dipika,Thompson,Pune,USA,52,69773
Donald,Robinson,Ahmedabad,USA,58,87763
Rob,Thomas,Ahmedabad,Canada,68,114937
Nick,Lewis,Hyderabad,USA,6,63094
Donald,Rodriguez,Bangalore,UK,50,181307
Jared,Lewis,Pune,USA,34,122606
Tom,Rodriguez,Surat,UK,53,89231
Dipika,Robinson,Mumbai,USA,11,134198
Gautam,Clark,Bangalore,Canada,57,118915
Alia,Clark,Hyderabad,India,5,197124
Ranbir,Thomas,Surat,India,61,61446
Jared,Thompson,Chennai,Canada,78,171687
Priyanka,White,Pune,USA,58,118442
Brad,Smith,Mumbai,Canada,37,162669
Rob,Martinez,Chennai,UK,68,61913
Gautam,Brown,Kolkata,USA,54,193857
